Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1706;199;169;294;563;277;205;241;28;24;41;79;39;29;1736;D;14,45;28,57;57;425;425;121;50;70;108;46;30;73,49;10,34;13,93;16,1;14,66;8,9;4,24;5,31;10,37;1,72;6,61;74;101;16;89;16;36;93;3,85;-5,15;34;8;769;109;943;133;148;208,18;69,48;72,82;63,7;2,18;29,38;9,81;10,28;8,99;0,31;106,97;31,1;28,18;35,51;12,18;15,1;4,39;3,98;5,01;1,72;44,48;;;315,15;0;0;448,69;1719,65;4,58;17,55;105;100;110;61;48;45,59;6,44;55;389,3;0;0;;;;0;0;;;;;;;;;;;;;0;32;30;2;0;0;0;0;4,52;4,23;0,28;0;0;0;0;7;3;4;0,99;0,42;0,56;4;0,56;11;11;0;0;0;1,55;1,55;0;0;0;32;4;8;9;11;4,52;0,56;1,13;1,27;1,55;0;0;7;0;0;0;7;0,99;0;0;0;0,99;0;0;9;1,27;54;41;13;7,62;5,79;1,83;65;0;5;10;25;9;16;9,17;0;0,71;1,41;3,53;1,27;2,26;20;9;8;3;0;0;2,82;1,27;1,13;0,42;0;0;22;3;19;3,11;0,42;2,68
Goalies;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;278;277;1;0;0;0;0;14;14;0;0;0;0;0;1736;Goalkeeper;0,83;11,44;23;1202;1202;1202;1;0;0;0;0;56,18;35,04;12,39;5,05;2,02;1,2;0,41;0,09;2,8;0,47;3,85;12;151;0;41;2;6;989;2,54;-2,63;0;0;7;0;1;0;8;258,69;199,06;43,88;15,76;0;12,91;9,94;2,19;0,79;0;135,05;106,44;21,94;6,67;0;6,74;5,31;1,1;0,33;0;19,65;;;393,74;0;0;30,35;463,24;0,36;5,45;1;73;7;0;1121;8,72;0,44;2,7;55;0;0;;;;0;0;;;;;;;;;;;;;0;1;1;0;0;0;0;0;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0,05;0,05;0;1;0;1;0;0;0;0;0,05;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0,05;0;0,05
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1379;186;126;185;355;224;303;247;33;23;33;64;40;54;1736;F;14,84;31,16;62;335;335;106;38;43;68;37;42;62,34;4,62;10,72;14,96;14,33;10,07;5,98;1,65;11,18;1,88;5,05;64;74;6;80;23;43;43;3,63;-7,08;4;1;782;140;821;147;147;179,75;53,64;74,6;50,06;1,45;32,24;9,62;13,38;8,98;0,26;84,93;21,48;18,67;30,96;13,82;15,23;3,85;3,35;5,55;2,48;47,48;;;264,68;0;0;367,93;1363,97;4,91;18,19;80;77;83;60;35;29,41;5,28;43,2;240,8;0;0;;;;0;0;;;;;;;;;;;;;0;30;29;1;0;0;0;0;5,38;5,2;0,18;0;0;0;0;3;1;2;0,54;0,18;0,36;0;0;10;10;0;0;0;1,79;1,79;0;0;0;33;6;3;9;15;5,92;1,08;0,54;1,61;2,69;0;0;1;0;0;0;1;0,18;0;0;0;0,18;0;0;6;1,08;17;8;9;3,05;1,43;1,61;50;0;9;7;8;12;14;8,97;0;1,61;1,26;1,43;2,15;2,51;21;9;4;7;1;0;3,77;1,61;0,72;1,26;0,18;0;24;4;20;4,3;0,72;3,59
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1405;188;120;143;440;259;255;253;34;22;26;79;47;46;1736;F;15,18;33,51;67;333;333;103;35;35;83;43;36;82,51;5,11;6,97;9,61;10,66;10,68;10,37;29,11;14,86;2,47;8,82;43;45;76;50;33;40;46;4,16;-6,54;239;48;793;143;827;149;142;165,48;61,73;58,67;42,67;2,42;29,8;11,12;10,56;7,68;0,44;75,87;25,18;16,7;22,48;11,52;13,66;4,53;3,01;4,05;2,07;43,46;;;241,35;0;0;442,45;1688,91;4,86;18,56;86;78;85;54;31;35,41;6,38;53,6;297,8;0;0;;;;0;0;;;;;;;;;;;;;0;26;24;2;0;0;0;0;4,68;4,32;0,36;0;0;0;0;6;3;3;1,08;0,54;0,54;15;2,7;7;7;0;0;0;1,26;1,26;0;0;0;27;6;5;5;11;4,86;1,08;0,9;0,9;1,98;0;0;26;0;0;0;26;4,68;0;0;0;4,68;5;0,9;6;1,08;18;11;7;3,24;1,98;1,26;49;0;8;7;11;12;11;8,82;0;1,44;1,26;1,98;2,16;1,98;15;4;5;3;3;0;2,7;0,72;0,9;0,54;0,54;0;16;1;15;2,88;0,18;2,7
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1426;335;234;311;327;135;83;201;47;33;44;46;19;12;1736;D;12,05;34,24;68;426;426;185;67;75;64;23;12;76,59;7,89;15,93;16,81;15,62;9;6,1;5,24;10,79;1,79;6,01;74;106;18;98;20;40;70;3,61;-6,48;21;7;442;62;587;83;103;213,36;66,88;82,36;62,67;1,45;30,06;9,42;11,6;8,83;0,2;111,19;30,23;26,27;39,05;15,64;15,67;4,26;3,7;5,5;2,2;45,73;;;324,55;0;0;361,8;1573,95;3,93;17,11;72;131;128;41;54;36,82;5,19;43;305,5;0;0;;;;0;0;;;;;;;;;;;;;0;39;36;3;0;0;0;0;5,49;5,07;0,42;0;0;0;0;6;2;4;0,85;0,28;0,56;1;0,14;10;10;0;0;0;1,41;1,41;0;0;0;39;6;8;6;19;5,49;0,85;1,13;0,85;2,68;0;0;6;0;0;0;6;0,85;0;0;0;0,85;2;0,28;9;1,27;34;13;21;4,79;1,83;2,96;57;0;9;16;16;11;5;8,03;0;1,27;2,25;2,25;1,55;0,7;9;6;2;0;1;0;1,27;0,85;0,28;0;0,14;0;21;5;16;2,96;0,7;2,25
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1598;166;163;197;353;410;310;264;27;27;32;58;68;51;1736;F;15,82;31,2;62;364;364;90;47;47;68;68;44;77,01;4,79;10,84;13,1;13,47;14,06;9,15;11,61;12,7;2,12;7,22;62;72;33;70;30;56;41;3,93;-5,67;59;14;961;158;1017;168;174;173,72;64,94;63,21;43,64;1,94;28,66;10,71;10,43;7,2;0,32;93,23;25,04;20,5;34,11;13,58;15,38;4,13;3,38;5,63;2,24;44,03;;;266,95;0;0;418,15;1355,02;5,04;16,33;111;75;90;62;27;36,33;5,99;51;309;0;0;;;;0;0;;;;;;;;;;;;;0;26;25;1;0;0;0;0;4,29;4,12;0,16;0;0;0;0;11;4;7;1,81;0,66;1,15;6;0,99;8;8;0;0;0;1,32;1,32;0;0;0;32;5;5;9;13;5,28;0,82;0,82;1,48;2,14;0;0;10;0;0;0;10;1,65;0;0;0;1,65;2;0,33;7;1,15;13;7;6;2,14;1,15;0,99;50;0;7;5;8;12;18;8,25;0;1,15;0,82;1,32;1,98;2,97;24;11;10;1;2;0;3,96;1,81;1,65;0,16;0,33;0;22;1;21;3,63;0,16;3,46
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1144;280;249;300;206;87;22;197;48;43;52;35;15;4;1736;D;11,82;27,03;54;348;348;138;74;75;42;16;3;46;11,8;12,69;9,5;4,89;4,37;1,81;0,94;7,92;1,31;4,56;24;102;3;60;8;18;133;4,35;-5,1;4;2;249;43;357;62;55;141,71;57,68;49,24;29,94;4,85;24,42;9,94;8,48;5,16;0,84;71,63;28,5;18,65;19,51;4,97;12,34;4,91;3,21;3,36;0,86;36,76;;;213,34;0;0;334,65;1871,57;3,76;21,03;55;133;112;22;26;27,53;4,74;40,8;237;0;0;;;;0;0;;;;;;;;;;;;;0;18;16;2;0;0;0;0;3,1;2,76;0,34;0;0;0;0;8;5;3;1,38;0,86;0,52;1;0,17;7;7;0;0;0;1,21;1,21;0;0;0;24;6;6;5;7;4,13;1,03;1,03;0,86;1,21;0;0;2;0;0;0;2;0,34;0;0;0;0,34;1;0,17;9;1,55;20;12;8;3,45;2,07;1,38;59;0;14;17;15;11;2;10,17;0;2,41;2,93;2,58;1,9;0,34;3;1;2;0;0;0;0,52;0,17;0,34;0;0;0;14;3;11;2,41;0,52;1,9
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1423;214;162;187;361;237;262;244;37;28;32;62;41;45;1736;F;14,61;32,51;65;351;351;109;47;46;73;39;37;63,78;7,64;11,81;14,06;11,19;8,97;6;4,11;10,91;1,72;6,09;56;84;13;78;21;35;63;3,87;-5,76;22;6;719;123;795;136;131;187,75;55,45;64,42;63,76;4,12;32,13;9,49;11,02;10,91;0,71;88,69;22,63;26,15;24,02;15,88;15,18;3,87;4,48;4,11;2,72;47,31;;;276,44;0;0;384,05;1735,22;4,86;21,96;82;92;85;58;33;31,74;5,43;44,8;261,8;0;0;;;;0;0;;;;;;;;;;;;;0;26;23;3;0;0;0;0;4,45;3,94;0,51;0;0;0;0;8;2;6;1,37;0,34;1,03;4;0,68;6;6;0;0;0;1,03;1,03;0;0;0;28;6;4;4;14;4,79;1,03;0,68;0,68;2,4;0;0;5;0;0;0;5;0,86;0;0;0;0,86;3;0,51;7;1,2;26;11;15;4,45;1,88;2,57;57;0;6;10;12;13;16;9,75;0;1,03;1,71;2,05;2,22;2,74;17;6;5;5;1;0;2,91;1,03;0,86;0,86;0,17;0;23;5;18;3,94;0,86;3,08
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;0;;;;;;;;;;;;;;1736;F;;;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;0;;0;;0;0;0;0;0;0;;;;;;0;0;0;0;0;;;;;;;;;0;0;0;;;;;;;;;;0;;;0;0;0;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Defense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1570;271;220;238;318;263;260;228;39;32;34;46;38;38;1736;D;13,66;30,66;61;414;414;149;63;57;63;44;37;74,34;10,06;10,6;12,36;10,17;11,7;8,9;10,54;10,78;1,79;5,54;44;83;32;72;29;46;108;3,93;-5,77;57;13;746;108;788;114;143;198,54;68,63;66,76;60,97;2,18;28,79;9,95;9,68;8,84;0,32;96,47;30,76;21,53;26,96;17,21;13,99;4,46;3,12;3,91;2,5;42,78;;;295,01;0;0;403,4;1663,3;4,38;18,08;90;105;118;54;47;39,67;5,75;48,8;336,4;0;0;;;;0;0;;;;;;;;;;;;;0;35;34;1;0;0;0;0;5,07;4,93;0,14;0;0;0;0;8;2;6;1,16;0,29;0,87;5;0,72;11;11;0;0;0;1,59;1,59;0;0;0;33;7;4;5;17;4,78;1,01;0,58;0,72;2,46;0;0;9;0;0;0;9;1,3;0;0;0;1,3;0;0;9;1,3;17;8;9;2,46;1,16;1,3;54;0;8;12;11;12;11;7,83;0;1,16;1,74;1,59;1,74;1,59;17;6;6;5;0;0;2,46;0,87;0,87;0,72;0;0;22;3;19;3,19;0,43;2,75
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;931;76;79;93;202;219;262;266;22;23;27;58;62;75;1736;F;15,97;31,03;62;210;210;54;22;22;38;36;38;46,81;2,42;4,34;6,68;10,29;10,92;6,62;5,53;13,38;2,23;7,55;43;27;17;34;22;42;25;3,48;-5,68;30;9;622;178;619;177;113;114,63;38,64;40,48;35,51;0;32,78;11,05;11,58;10,15;0;56,6;10,94;11,67;19,93;14,06;16,18;3,13;3,34;5,7;4,02;48,96;;;171,23;0;0;446,28;1363,66;5,31;16,23;54;28;55;48;26;22,38;6,4;52,1;182,1;0;0;;;;0;0;;;;;;;;;;;;;0;21;21;0;0;0;0;0;6;6;0;0;0;0;0;4;3;1;1,14;0,86;0,29;3;0,86;3;3;0;0;0;0,86;0,86;0;0;0;19;1;1;6;11;5,43;0,29;0,29;1,72;3,15;0;0;9;0;0;0;9;2,57;0;0;0;2,57;1;0,29;4;1,14;7;2;5;2;0,57;1,43;32;0;3;3;4;7;15;9,15;0;0,86;0,86;1,14;2;4,29;17;4;9;3;1;0;4,86;1,14;2,57;0,86;0,29;0;18;2;16;5,15;0,57;4,57
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1372;130;138;207;353;253;291;260;25;26;39;67;48;55;1736;F;15,6;30,12;60;317;317;77;39;48;69;42;43;60,64;5,67;10,76;12,58;10,2;6,95;5,72;8,76;11,49;1,91;6,78;47;73;27;69;18;26;56;3,33;-6,36;56;15;725;137;800;152;131;148,21;54,63;56;37,58;0;28,08;10,35;10,61;7,12;0;73,96;24,82;15,82;20,84;12,48;14,01;4,7;3;3,95;2,37;42,09;;;222,17;0;0;457,02;1715,93;4,91;18,45;97;66;83;42;29;34,74;6,58;56,3;297,2;0;0;;;;0;0;;;;;;;;;;;;;0;18;18;0;0;0;0;0;3,41;3,41;0;0;0;0;0;4;2;2;0,76;0,38;0,38;5;0,95;8;8;0;0;0;1,52;1,52;0;0;0;23;4;6;1;12;4,36;0,76;1,14;0,19;2,27;0;0;14;0;0;0;14;2,65;0;0;0;2,65;3;0,57;7;1,33;31;9;22;5,87;1,71;4,17;55;0;3;6;17;10;19;10,42;0;0,57;1,14;3,22;1,89;3,6;15;5;7;3;0;0;2,84;0,95;1,33;0,57;0;0;12;0;12;2,27;0;2,27
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1244;198;138;200;321;253;134;234;37;26;38;60;48;25;1736;F;14,01;34,1;68;320;320;108;40;47;63;42;19;70,13;5,29;9,63;9,48;10,05;9,48;9,49;16,71;13,17;2,19;6,61;43;66;46;52;33;37;41;3,73;-5,63;74;20;641;120;699;131;130;175,03;45,73;50,76;76,61;1,94;32,86;8,59;9,53;14,38;0,36;92;21,51;21,77;32,23;16,48;17,28;4,04;4,09;6,05;3,1;50,14;;;267,03;0;0;432,82;2091,75;4,7;22,74;75;87;72;52;33;33,07;6,21;50;266,5;0;0;;;;0;0;;;;;;;;;;;;;0;27;23;4;0;0;0;0;5,07;4,32;0,75;0;0;0;0;12;6;6;2,25;1,13;1,13;8;1,5;12;12;0;0;0;2,25;2,25;0;0;0;33;7;6;5;15;6,2;1,31;1,13;0,94;2,82;0;0;16;0;0;0;16;3;0;0;0;3;2;0,38;6;1,13;18;12;6;3,38;2,25;1,13;56;0;7;9;15;14;11;10,51;0;1,31;1,69;2,82;2,63;2,07;12;7;3;1;1;0;2,25;1,31;0,56;0,19;0,19;0;14;2;12;2,63;0,38;2,25
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1154;178;130;210;374;190;71;234;36;26;43;76;38;14;1736;F;14,01;28,2;56;296;296;94;39;51;70;32;11;51,46;5,97;10,07;13,9;8,65;6,53;4,16;2,19;10,42;1,74;4,44;43;70;8;76;16;28;54;4,27;-6,48;4;1;488;99;589;119;102;143,16;53,01;44,45;42,79;2,91;28,98;10,73;9;8,66;0,59;73,76;21,19;16,91;25,66;10;14,93;4,29;3,42;5,19;2,02;43,91;;;216,93;0;0;373,89;1618,96;4,45;19,27;74;72;90;34;26;26,47;5,36;45,7;225,6;0;0;;;;0;0;;;;;;;;;;;;;0;27;25;2;0;0;0;0;5,47;5,06;0,4;0;0;0;0;7;3;4;1,42;0,61;0,81;0;0;8;8;0;0;0;1,62;1,62;0;0;0;26;2;5;8;11;5,26;0,4;1,01;1,62;2,23;0;0;1;0;0;0;1;0,2;0;0;0;0,2;0;0;5;1,01;14;6;8;2,83;1,21;1,62;48;0;5;13;10;13;7;9,72;0;1,01;2,63;2,02;2,63;1,42;7;3;3;1;0;0;1,42;0,61;0,61;0,2;0;0;27;0;27;5,47;0;5,47
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1136;116;112;135;220;227;325;274;28;27;32;53;55;78;1736;F;16,41;31,69;63;249;249;61;31;32;42;37;46;56,79;3,01;7,32;8,01;9,62;8,99;8,33;11,52;13,68;2,26;9,09;42;43;34;45;27;32;25;3,53;-6,64;52;13;714;172;713;172;128;139,21;38,82;52,64;47,76;0;33,53;9,35;12,68;11,5;0;60,48;16,45;11,12;21,57;11,33;14,57;3,96;2,68;5,2;2,73;48,1;;;199,69;0;0;488,2;1854,08;5,36;20,37;69;38;69;49;24;29,05;7;58;240,6;0;0;;;;0;0;;;;;;;;;;;;;0;26;25;1;0;0;0;0;6,26;6,02;0,24;0;0;0;0;4;1;3;0,96;0,24;0,72;4;0,96;10;9;1;0;0;2,41;2,17;0,24;0;0;21;1;3;5;12;5,06;0,24;0,72;1,2;2,89;0;0;10;0;0;0;10;2,41;0;0;0;2,41;1;0,24;7;1,69;15;6;9;3,61;1,45;2,17;38;0;2;6;7;5;18;9,15;0;0,48;1,45;1,69;1,2;4,34;17;3;8;5;1;0;4,09;0,72;1,93;1,2;0,24;0;2;0;2;0,48;0;0,48
Offense;;Period 1;194;Period;16.11.2022 20:14:46;16.11.2022;16.11.2022;20:14:46;19:14:46;16.11.2022 19:14:46;16.11.2022 19:45:50;16.11.2022;16.11.2022;19:45:50;18:45:50;16.11.2022 18:45:50;1061;98;97;150;298;189;230;262;24;24;37;73;47;57;1736;F;15,71;31,57;63;243;243;58;28;35;57;33;32;46,87;5,68;6,26;7,88;6,31;7,56;7,59;5,58;11,56;1,94;8,48;30;43;16;45;26;29;53;4,19;-4,9;23;5;598;148;621;153;110;129,79;38,67;40,82;44;6,3;32,01;9,54;10,07;10,85;1,55;61,89;17,41;15,09;19,81;9,58;15,27;4,3;3,72;4,89;2,36;47,28;;;191,68;0;0;476,42;1805,04;5,12;19,41;64;46;68;43;23;27,69;6,83;56,7;229,9;0;0;;;;0;0;;;;;;;;;;;;;0;23;21;2;0;0;0;0;5,67;5,18;0,49;0;0;0;0;6;0;6;1,48;0;1,48;1;0,25;8;8;0;0;0;1,97;1,97;0;0;0;20;4;4;4;8;4,93;0,99;0,99;0,99;1,97;0;0;3;0;0;0;3;0,74;0;0;0;0,74;0;0;6;1,48;10;5;5;2,47;1,23;1,23;40;0;7;4;9;8;12;9,87;0;1,73;0,99;2,22;1,97;2,96;12;2;7;2;1;0;2,96;0,49;1,73;0,49;0,25;0;13;1;12;3,21;0,25;2,96
Defense;;Period 2;194;Period;16.11.2022 21:10:19;16.11.2022;16.11.2022;21:10:19;20:10:19;16.11.2022 20:10:19;16.11.2022 20:33:10;16.11.2022;16.11.2022;20:33:10;19:33:10;16.11.2022 19:33:10;1026;301;200;209;194;90;32;177;52;34;36;33;15;5;2229;D;10,6;25,73;51;348;348;176;60;53;40;15;5;61,12;7,83;13,17;13,48;7,69;7,11;5,9;5,94;10,53;1,75;5,36;38;92;19;79;21;29;70;4,27;-4,65;27;6;276;48;390;67;68;179,88;61,09;54,3;55,03;9,45;30,99;10,53;9,36;9,48;1,63;82,41;23,45;20,73;29,14;9,09;14,2;4,04;3,57;5,02;1,57;45,19;;;262,29;0;0;322,93;1748,46;3,51;19,01;52;116;87;29;65;26,87;4,63;37,9;219,7;0;0;;;;0;0;;;;;;;;;;;;;0;31;28;2;1;0;0;0;5,34;4,82;0,34;0,17;0;0;0;12;4;8;2,07;0,69;1,38;2;0,34;10;10;0;0;0;1,72;1,72;0;0;0;31;8;4;11;8;5,34;1,38;0,69;1,9;1,38;0;0;4;0;0;0;4;0,69;0;0;0;0,69;0;0;9;1,55;31;19;12;5,34;3,27;2,07;51;0;9;22;12;4;4;8,79;0;1,55;3,79;2,07;0,69;0,69;4;2;2;0;0;0;0,69;0,34;0,34;0;0;0;12;3;9;2,07;0,52;1,55
